Date,BTC-USD,ETH-USD,USDT-USD,BNB-USD,USDC-USD,XRP-USD,BUSD-USD,ADA-USD,DOGE-USD,MATIC-USD,Total Crypto Volume,FTSE 100 Volume
2022-06-07,40770974039,24020076750,67008901675,1752763456,5926284249,1666703798,6836652197,1450579665,509642725,388909824,150331488378,750124500.0
2022-06-08,30242059107,18041476023,52176620958,1136631692,4466105669,1183206226,5155728236,1636846100,328046389,311907113,114678627513,776478300.0
2022-06-09,21692004719,12013083393,42359067750,800984464,3391661643,911815336,4601384135,1166081755,274673852,587025588,87797782635,771939100.0
2022-06-10,29867476527,18504740451,49685289881,1362797648,4483108536,1424539679,4695773420,1170021356,431520761,498554578,112123822837,911375600.0
2022-06-11,27246574439,21127089064,48736816876,1220361307,4801662884,1111401064,4425812631,1232257018,497184012,390290153,110789449448,
2022-06-12,34163220274,23465074882,59051274983,1380200465,6008997676,1370072145,5731962347,1474640183,708156957,433394162,133786994074,
2022-06-13,68204556440,45162788786,107410569162,2471570710,13815639937,2558939154,11519495508,2551895485,1465281537,756124042,255916860761,980090400.0
2022-06-14,50913575242,33327826525,81024425505,2027226914,9261666900,1977069964,7615185011,2241209963,908921329,599507003,189896614356,864847700.0
2022-06-15,54912007015,37539999450,89017006423,2244407305,10865090032,2242860490,8552268807,2335125416,1122284662,652567592,209483617192,1089092800.0
2022-06-16,31183975654,18907671369,52400892767,1483212957,6216714654,1477710114,5406986455,1226235066,724479688,417630104,119445508828,1162889200.0
2022-06-17,27132421514,14591486540,43836219287,1108538874,5283451774,1381554091,5008980631,872710309,383830484,299743978,99898937482,1908921300.0
2022-06-18,42009436760,21655406608,61973128141,1579731402,7168140282,1403189628,6605490616,1214101657,652345943,491406505,144752377542,
2022-06-19,35329942625,21795481981,55603476684,1333254615,6073489273,1159418572,5147188373,1050008285,1166163984,451106960,129109531352,
2022-06-20,30818458597,19739691429,52157987688,1235838900,5394231917,1187888833,5135462320,1096263588,499018791,471727687,117736569750,666757200.0
